Time,Correct,Real cid,Classified cid,Score,Percentage,Queue Distribution
9705,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 4}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 24}}"
9807,False,56.0,20.0,0.17904277247461406,0.5833333333333334,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 5}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 24}}"
9856,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 5}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 25}}"
9860,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 5}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 26}}"
9939,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 5}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 27}}"
9945,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 5}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 28}}"
9967,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 5}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 29}}"
9979,False,56.0,20.0,0.18213830919315419,0.5384615384615384,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 6}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 29}}"
9993,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 6}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 30}}"
10014,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 6}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 31}}"
10023,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 6}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 32}}"
10040,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 6}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 33}}"
