31.0,35.0,93.0,97.0,99.0,152.0,182.0,271.0,306.0,329.0
Time,Score,Correct
21780,-1,True
21794,-1,True
21796,-1,True
21797,-1,True
21810,-1,True
21811,-1,True
21821,-1,True
21856,-1,True
21859,-1,True
21860,-1,True
21864,-1,True
21865,-1,True
21875,-1,True
21877,-1,True
21879,-1,True
21882,-1,True
21885,-1,True
21886,-1,True
21888,-1,True
21891,-1,True
21892,-1,True
21894,-1,True
21904,-1,True
21909,-1,True
21911,-1,True
21915,-1,True
21920,-1,True
21923,-1,True
21925,-1,True
21934,-1,True
21937,-1,True
21950,-1,True
21962,-1,True
21965,-1,True
21967,-1,True
21971,-1,True
21972,-1,True
21975,-1,True
21976,-1,True
21983,-1,True
21985,-1,True
21988,-1,True
21995,-1,True
21999,-1,True
22001,-1,True
22007,-1,True
22008,-1,True
22014,-1,True
22016,-1,True
22019,-1,True
22022,-1,True
22030,-1,True
22035,-1,True
22041,-1,True
22045,-1,True
22052,0.15565217058174313,True
22057,-1,True
22061,-1,True
22062,-1,True
22067,-1,True
22069,-1,True
22071,-1,True
22075,-1,True
22080,-1,True
22083,-1,True
22086,-1,True
22088,-1,True
22091,-1,True
22094,-1,True
22097,0.16341344852698966,True
22099,-1,True
22100,-1,True
22103,-1,True
22104,-1,True
22111,-1,True
22123,-1,True
22124,-1,True
22129,-1,True
22143,-1,True
22147,-1,True
22148,-1,True
22150,-1,True
22153,-1,True
22155,-1,True
22156,-1,True
22162,-1,True
22165,-1,True
22166,-1,True
22171,-1,True
22173,-1,True
22177,-1,True
22179,-1,True
22181,-1,True
22182,-1,True
22184,-1,True
22187,-1,True
22189,-1,True
22190,-1,True
22204,-1,True
22211,-1,True
22221,-1,True
22230,-1,True
22233,-1,True
22234,-1,True
22241,-1,True
22244,-1,True
22251,-1,True
22253,-1,True
22259,-1,True
22261,-1,True
22265,-1,True
22270,-1,True
22273,-1,True
22275,-1,True
22277,-1,True
22289,-1,True
22291,-1,True
22293,-1,True
22295,-1,True
22297,-1,True
22303,-1,True
22305,-1,True
22315,-1,True
22317,0.15626148427836598,True
22327,-1,True
22329,-1,True
22330,-1,True
22333,-1,True
22337,-1,True
22338,-1,True
22343,-1,True
22347,-1,True
22348,-1,True
22351,-1,True
22355,-1,True
22358,-1,True
22361,-1,True
22362,-1,True
22365,-1,True
22367,-1,True
22371,-1,True
22372,-1,True
22379,-1,True
22380,-1,True
22384,-1,True
22387,-1,True
22393,-1,True
22397,-1,True
22408,-1,True
22411,-1,True
22419,-1,True
22421,-1,True
22423,-1,True
22428,-1,True
22432,-1,True
22441,-1,True
22445,-1,True
22446,-1,True
22449,-1,True
22451,-1,True
22468,-1,True
22471,-1,True
22513,-1,True
22514,-1,True
22523,-1,True
22527,-1,True
22555,-1,True
22556,-1,True
22591,-1,True
22604,-1,True
22724,-1,True
23482,-1,True
24078,-1,True
25095,-1,True
25154,-1,True
26232,-1,True
26257,-1,True
26270,-1,True
26296,-1,True
27030,-1,True
27532,-1,True
28511,-1,True
28516,-1,True
28518,-1,True
28528,-1,True
28531,-1,True
28564,-1,True
28590,-1,True
28640,0.1054208679124713,True
28739,-1,True
29023,-1,True
29202,-1,True
29246,-1,True
33227,-1,True
