Time,Major Accuracy,Major Groundtruth,Minor Accuracy,Minor Groundtruth
7179,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 2}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
7180,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 3}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
7181,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 4}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
7182,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 5}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
7183,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 6}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
7184,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 7}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
7185,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 8}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
7186,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 9}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
7187,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 10}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
7188,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 11}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
7189,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 12}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
7233,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 1}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2,1.0,"{48.0: 0, 40.0: 32, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0}",1.0,"{48.0: 0, 40.0: 29, 111.0: 0, 125.0: 0, 265.0: 0}"
5,1.0,"{48.0: 0, 40.0: 33, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0}",1.0,"{48.0: 0, 40.0: 29, 111.0: 0, 125.0: 0, 265.0: 0}"
42,1.0,"{48.0: 0, 40.0: 34, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0}",1.0,"{48.0: 0, 40.0: 30, 111.0: 0, 125.0: 0, 265.0: 0}"
2308,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 2, 268.0: 0, 515.0: 0}",1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 1, 265.0: 0}"
2691,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 1}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2705,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 2}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2748,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 3}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2773,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 4}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2776,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 5}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2779,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 6}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2787,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 7}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2789,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 8}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2792,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 9}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2802,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 10}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2805,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 11}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2810,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 12}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2819,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 13}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2821,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 14}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2832,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 15}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2836,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 16}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2839,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 17}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2847,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 18}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2849,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 19}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2854,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 20}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2856,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 21}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2866,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 22}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2869,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 23}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2871,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 24}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2873,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 25}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2875,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 26}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2877,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 27}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2880,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 28}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2891,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 29}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2896,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 30}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2906,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 31}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2912,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 32}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2917,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 33}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2921,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 34}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2926,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 35}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2953,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 36}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2954,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 37}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2955,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 38}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2956,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 39}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2957,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 40}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2958,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 41}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2959,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 42}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
2960,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 43}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3057,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 44}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3058,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 45}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3059,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 46}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3060,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 47}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3061,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 48}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3062,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 49}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3063,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 50}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3064,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 51}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3134,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 52}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3139,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 53}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3142,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 54}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3145,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 55}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3148,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 56}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3153,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 57}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3158,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 58}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3161,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 59}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3164,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 60}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3169,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 61}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3174,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 62}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3179,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 63}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3184,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 64}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3189,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 65}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3204,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 66}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3209,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 67}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3224,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 68}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3229,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 69}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3254,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 70}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3306,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 71}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3308,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 72}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3313,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 73}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3315,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 74}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3320,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 75}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3325,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 76}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3330,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 77}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3332,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 78}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3337,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 79}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3342,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 80}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3347,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 81}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3352,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 82}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3469,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 83}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3470,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 84}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
3471,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0, 515.0: 0, 138.0: 85}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
