Time,Real cid,Classified cid,Score,Queue Distribution,Representive,Percentage,Queue Size,Dominated
5227,7.0,24.0,0.10390861295163631,"{1.0: {1.0: 1}, 7.0: {7.0: 36, 24.0: 1}, 24.0: {24.0: 1, 7.0: 21}}",False,0.9545454545454546,22,True
5252,7.0,24.0,0.10539616942405701,"{1.0: {1.0: 1}, 7.0: {7.0: 36, 24.0: 1}, 24.0: {24.0: 1, 7.0: 22}}",False,0.9565217391304348,23,True
5254,7.0,24.0,0.09741142317652703,"{1.0: {1.0: 1}, 7.0: {7.0: 36, 24.0: 1}, 24.0: {24.0: 1, 7.0: 23}}",False,0.9583333333333334,24,True
5635,7.0,24.0,0.10528867803514004,"{1.0: {1.0: 1}, 7.0: {7.0: 36, 24.0: 1}, 24.0: {24.0: 1, 7.0: 24}}",False,0.96,25,True
5636,7.0,24.0,0.10575506053864955,"{1.0: {1.0: 1}, 7.0: {7.0: 36, 24.0: 1}, 24.0: {24.0: 1, 7.0: 25}}",False,0.9615384615384616,26,True
5673,7.0,24.0,0.10455562844872475,"{1.0: {1.0: 1}, 7.0: {7.0: 36, 24.0: 1}, 24.0: {24.0: 1, 7.0: 26}}",False,0.9629629629629629,27,True
5737,7.0,7.0,-1,"{1.0: {1.0: 1}, 7.0: {7.0: 37, 24.0: 1}, 24.0: {24.0: 1, 7.0: 26}}",True,0.9736842105263158,38,True
5742,7.0,7.0,-1,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 1, 7.0: 26}}",True,0.9743589743589743,39,True
6287,24.0,24.0,0.1014613002538681,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 26}}",True,0.07142857142857142,28,False
6398,7.0,24.0,0.10640506818890572,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 27}}",False,0.9310344827586207,29,True
6463,7.0,24.0,0.1036786038428545,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 28}}",False,0.9333333333333333,30,True
6552,7.0,24.0,0.10562834069132805,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 29}}",False,0.9354838709677419,31,True
6613,7.0,24.0,0.09951213672757149,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 30}}",False,0.9375,32,True
6776,7.0,24.0,0.10565023757517338,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 31}}",False,0.9393939393939394,33,True
6811,7.0,24.0,0.10632285214960575,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 32}}",False,0.9411764705882353,34,True
6848,7.0,24.0,0.1052490659058094,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 33}}",False,0.9428571428571428,35,True
6851,7.0,24.0,0.10593798570334911,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 34}}",False,0.9444444444444444,36,True
6912,7.0,24.0,0.09999516420066357,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}}",False,0.9459459459459459,37,True
7805,60.0,60.0,-1,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 1}}",True,1.0,1,True
7971,64.0,64.0,-1,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 1}, 64.0: {64.0: 1}}",True,1.0,1,True
