Time,Major Accuracy,Major Groundtruth,Minor Accuracy,Minor Groundtruth
7984,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 15}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8022,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 16}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8029,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 17}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8030,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 18}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8031,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 19}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8104,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 20}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8228,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 21}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8232,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 22}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8281,0.75,"{44.0: 0, 45.0: 1, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 3, 80.0: 0}",0.8,"{41.0: 0, 45.0: 0, 2.0: 1, 8.0: 0, 80.0: 0, 86.0: 4, 101.0: 0, 116.0: 0}"
8627,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 23}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8707,0.8,"{44.0: 0, 45.0: 1, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 4, 80.0: 0}",0.8,"{41.0: 0, 45.0: 0, 2.0: 1, 8.0: 0, 80.0: 0, 86.0: 4, 101.0: 0, 116.0: 0}"
8728,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 24}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8792,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 25}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8977,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 26}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8986,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 27}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8991,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 28}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
8993,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 29}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
9157,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 30}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
9159,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 31}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
