50.0,28.0,29.0,68.0,121.0,133.0,148.0,156.0,169.0,182.0,230.0,246.0,313.0,319.0,369.0,400.0,463.0
Time,Coflow id,Major Accuracy,Major Groundtruth,Minor Accuracy,Minor Groundtruth
17606,182.0,0.15384615384615385,"{50.0: 0, 28.0: 18, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 10, 156.0: 0, 182.0: 37}",0.19696969696969696,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 13, 148.0: 0, 156.0: 0, 182.0: 51}"
17610,182.0,0.5757575757575758,"{50.0: 0, 28.0: 18, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 10, 156.0: 0, 182.0: 38}",0.7761194029850746,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 13, 148.0: 0, 156.0: 0, 182.0: 52}"
17626,182.0,0.582089552238806,"{50.0: 0, 28.0: 18, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 10, 156.0: 0, 182.0: 39}",0.7714285714285715,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 14, 148.0: 0, 156.0: 0, 182.0: 54}"
17671,182.0,0.27941176470588236,"{50.0: 0, 28.0: 19, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 10, 156.0: 0, 182.0: 39}",0.7671232876712328,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 15, 148.0: 0, 156.0: 0, 182.0: 56}"
17696,182.0,0.5797101449275363,"{50.0: 0, 28.0: 19, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 10, 156.0: 0, 182.0: 40}",0.7671232876712328,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 15, 148.0: 0, 156.0: 0, 182.0: 56}"
17699,182.0,0.2857142857142857,"{50.0: 0, 28.0: 20, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 10, 156.0: 0, 182.0: 40}",0.7671232876712328,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 15, 148.0: 0, 156.0: 0, 182.0: 56}"
17715,182.0,0.5774647887323944,"{50.0: 0, 28.0: 20, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 10, 156.0: 0, 182.0: 41}",0.7671232876712328,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 15, 148.0: 0, 156.0: 0, 182.0: 56}"
17753,182.0,0.2916666666666667,"{50.0: 0, 28.0: 21, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 10, 156.0: 0, 182.0: 41}",0.7567567567567568,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 16, 148.0: 0, 156.0: 0, 182.0: 56}"
17778,182.0,0.1506849315068493,"{50.0: 0, 28.0: 21, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 11, 156.0: 0, 182.0: 41}",0.21333333333333335,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 16, 148.0: 0, 156.0: 0, 182.0: 57}"
17795,182.0,0.5675675675675675,"{50.0: 0, 28.0: 21, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 11, 156.0: 0, 182.0: 42}",0.75,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 17, 148.0: 0, 156.0: 0, 182.0: 57}"
17804,182.0,0.5733333333333334,"{50.0: 0, 28.0: 21, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 11, 156.0: 0, 182.0: 43}",0.7532467532467533,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 17, 148.0: 0, 156.0: 0, 182.0: 58}"
17843,182.0,0.2894736842105263,"{50.0: 0, 28.0: 22, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 11, 156.0: 0, 182.0: 43}",0.759493670886076,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 17, 148.0: 0, 156.0: 0, 182.0: 60}"
17871,182.0,0.2987012987012987,"{50.0: 0, 28.0: 23, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 11, 156.0: 0, 182.0: 43}",0.7625,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 17, 148.0: 0, 156.0: 0, 182.0: 61}"
17876,182.0,0.5641025641025641,"{50.0: 0, 28.0: 23, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 11, 156.0: 0, 182.0: 44}",0.7625,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 17, 148.0: 0, 156.0: 0, 182.0: 61}"
17897,182.0,0.569620253164557,"{50.0: 0, 28.0: 23, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 11, 156.0: 0, 182.0: 45}",0.7625,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 17, 148.0: 0, 156.0: 0, 182.0: 61}"
17925,182.0,0.15,"{50.0: 0, 28.0: 23, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 12, 156.0: 0, 182.0: 45}",0.20987654320987653,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 17, 148.0: 0, 156.0: 0, 182.0: 61}"
17956,182.0,0.5679012345679012,"{50.0: 0, 28.0: 23, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 12, 156.0: 0, 182.0: 46}",0.7560975609756098,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 17, 148.0: 0, 156.0: 0, 182.0: 62}"
17971,182.0,0.15853658536585366,"{50.0: 0, 28.0: 23, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 13, 156.0: 0, 182.0: 46}",0.2073170731707317,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 17, 148.0: 0, 156.0: 0, 182.0: 62}"
17999,182.0,0.1686746987951807,"{50.0: 0, 28.0: 23, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 14, 156.0: 0, 182.0: 46}",0.21686746987951808,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 18, 148.0: 0, 156.0: 0, 182.0: 62}"
18005,182.0,0.5595238095238095,"{50.0: 0, 28.0: 23, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 14, 156.0: 0, 182.0: 47}",0.7469879518072289,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 18, 148.0: 0, 156.0: 0, 182.0: 62}"
18023,182.0,0.2823529411764706,"{50.0: 0, 28.0: 24, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 14, 156.0: 0, 182.0: 47}",0.7469879518072289,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 18, 148.0: 0, 156.0: 0, 182.0: 62}"
18052,182.0,0.1744186046511628,"{50.0: 0, 28.0: 24, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 15, 156.0: 0, 182.0: 47}",0.21686746987951808,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 18, 148.0: 0, 156.0: 0, 182.0: 62}"
18077,182.0,0.5517241379310345,"{50.0: 0, 28.0: 24, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 15, 156.0: 0, 182.0: 48}",0.7469879518072289,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 18, 148.0: 0, 156.0: 0, 182.0: 62}"
18088,182.0,0.18181818181818182,"{50.0: 0, 28.0: 24, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 16, 156.0: 0, 182.0: 48}",0.21428571428571427,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 18, 148.0: 0, 156.0: 0, 182.0: 63}"
18108,182.0,0.2808988764044944,"{50.0: 0, 28.0: 25, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 16, 156.0: 0, 182.0: 48}",0.75,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 18, 148.0: 0, 156.0: 0, 182.0: 63}"
18140,182.0,0.28888888888888886,"{50.0: 0, 28.0: 26, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 16, 156.0: 0, 182.0: 48}",0.7441860465116279,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 19, 148.0: 0, 156.0: 0, 182.0: 64}"
18150,182.0,0.5384615384615384,"{50.0: 0, 28.0: 26, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 16, 156.0: 0, 182.0: 49}",0.7471264367816092,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 19, 148.0: 0, 156.0: 0, 182.0: 65}"
18165,182.0,0.5434782608695652,"{50.0: 0, 28.0: 26, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 16, 156.0: 0, 182.0: 50}",0.75,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 19, 148.0: 0, 156.0: 0, 182.0: 66}"
18185,182.0,0.5483870967741935,"{50.0: 0, 28.0: 26, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 16, 156.0: 0, 182.0: 51}",0.7582417582417582,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 19, 148.0: 0, 156.0: 0, 182.0: 69}"
18192,182.0,0.5531914893617021,"{50.0: 0, 28.0: 26, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 16, 156.0: 0, 182.0: 52}",0.7582417582417582,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 19, 148.0: 0, 156.0: 0, 182.0: 69}"
18194,182.0,0.28421052631578947,"{50.0: 0, 28.0: 27, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 16, 156.0: 0, 182.0: 52}",0.75,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 20, 148.0: 0, 156.0: 0, 182.0: 69}"
18197,182.0,0.5520833333333334,"{50.0: 0, 28.0: 27, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 16, 156.0: 0, 182.0: 53}",0.22580645161290322,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 21, 148.0: 0, 156.0: 0, 182.0: 69}"
18222,182.0,0.17525773195876287,"{50.0: 0, 28.0: 27, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 17, 156.0: 0, 182.0: 53}",0.22340425531914893,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 21, 148.0: 0, 156.0: 0, 182.0: 70}"
18260,182.0,0.5510204081632653,"{50.0: 0, 28.0: 27, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 17, 156.0: 0, 182.0: 54}",0.7473684210526316,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 21, 148.0: 0, 156.0: 0, 182.0: 71}"
18336,182.0,0.2828282828282828,"{50.0: 0, 28.0: 28, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 17, 156.0: 0, 182.0: 54}",0.7549019607843137,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 22, 148.0: 0, 156.0: 0, 182.0: 77}"
18344,182.0,0.18,"{50.0: 0, 28.0: 28, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 18, 156.0: 0, 182.0: 54}",0.21568627450980393,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 22, 148.0: 0, 156.0: 0, 182.0: 77}"
18348,182.0,0.18811881188118812,"{50.0: 0, 28.0: 28, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 19, 156.0: 0, 182.0: 54}",0.21359223300970873,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 22, 148.0: 0, 156.0: 0, 182.0: 78}"
18373,182.0,0.00980392156862745,"{50.0: 0, 28.0: 28, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 19, 156.0: 1, 182.0: 54}",0.01904761904761905,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 24, 148.0: 0, 156.0: 0, 182.0: 78}"
18377,182.0,0.5339805825242718,"{50.0: 0, 28.0: 28, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 19, 156.0: 1, 182.0: 55}",0.7428571428571429,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 24, 148.0: 0, 156.0: 0, 182.0: 78}"
18390,182.0,0.5384615384615384,"{50.0: 0, 28.0: 28, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 19, 156.0: 1, 182.0: 56}",0.7428571428571429,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 24, 148.0: 0, 156.0: 0, 182.0: 78}"
18400,182.0,0.5428571428571428,"{50.0: 0, 28.0: 28, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 19, 156.0: 1, 182.0: 57}",0.7358490566037735,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 25, 148.0: 0, 156.0: 0, 182.0: 78}"
18402,182.0,0.27358490566037735,"{50.0: 0, 28.0: 29, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 19, 156.0: 1, 182.0: 57}",0.7358490566037735,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 25, 148.0: 0, 156.0: 0, 182.0: 78}"
18408,182.0,0.2803738317757009,"{50.0: 0, 28.0: 30, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 19, 156.0: 1, 182.0: 57}",0.7358490566037735,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 25, 148.0: 0, 156.0: 0, 182.0: 78}"
18410,182.0,0.28703703703703703,"{50.0: 0, 28.0: 31, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 19, 156.0: 1, 182.0: 57}",0.7358490566037735,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 25, 148.0: 0, 156.0: 0, 182.0: 78}"
18421,182.0,0.1834862385321101,"{50.0: 0, 28.0: 31, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 20, 156.0: 1, 182.0: 57}",0.2336448598130841,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 2, 146.0: 25, 148.0: 0, 156.0: 0, 182.0: 79}"
18473,182.0,0.19090909090909092,"{50.0: 0, 28.0: 31, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 21, 156.0: 1, 182.0: 57}",0.21929824561403508,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 25, 148.0: 0, 156.0: 0, 182.0: 85}"
18482,182.0,0.1981981981981982,"{50.0: 0, 28.0: 31, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 22, 156.0: 1, 182.0: 57}",0.21739130434782608,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 25, 148.0: 0, 156.0: 0, 182.0: 86}"
18483,182.0,0.5178571428571429,"{50.0: 0, 28.0: 31, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 22, 156.0: 1, 182.0: 58}",0.7478260869565218,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 25, 148.0: 0, 156.0: 0, 182.0: 86}"
18489,182.0,0.20353982300884957,"{50.0: 0, 28.0: 31, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 23, 156.0: 1, 182.0: 58}",0.21739130434782608,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 25, 148.0: 0, 156.0: 0, 182.0: 86}"
18495,182.0,0.5175438596491229,"{50.0: 0, 28.0: 31, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 23, 156.0: 1, 182.0: 59}",0.7478260869565218,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 25, 148.0: 0, 156.0: 0, 182.0: 86}"
18557,182.0,0.5217391304347826,"{50.0: 0, 28.0: 31, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 23, 156.0: 1, 182.0: 60}",0.7478991596638656,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 26, 148.0: 0, 156.0: 0, 182.0: 89}"
18586,182.0,0.20689655172413793,"{50.0: 0, 28.0: 31, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 24, 156.0: 1, 182.0: 60}",0.21666666666666667,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 26, 148.0: 0, 156.0: 0, 182.0: 90}"
18589,182.0,0.27350427350427353,"{50.0: 0, 28.0: 32, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 24, 156.0: 1, 182.0: 60}",0.75,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 26, 148.0: 0, 156.0: 0, 182.0: 90}"
18590,182.0,0.5169491525423728,"{50.0: 0, 28.0: 32, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 24, 156.0: 1, 182.0: 61}",0.75,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 26, 148.0: 0, 156.0: 0, 182.0: 90}"
18607,182.0,0.21008403361344538,"{50.0: 0, 28.0: 32, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 25, 156.0: 1, 182.0: 61}",0.21487603305785125,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 26, 148.0: 0, 156.0: 0, 182.0: 91}"
18621,182.0,0.21666666666666667,"{50.0: 0, 28.0: 32, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 26, 156.0: 1, 182.0: 61}",0.21951219512195122,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 27, 148.0: 0, 156.0: 0, 182.0: 92}"
18633,182.0,0.512396694214876,"{50.0: 0, 28.0: 32, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 26, 156.0: 1, 182.0: 62}",0.7479674796747967,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 27, 148.0: 0, 156.0: 0, 182.0: 92}"
18648,182.0,0.5163934426229508,"{50.0: 0, 28.0: 32, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 26, 156.0: 1, 182.0: 63}",0.75,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 27, 148.0: 0, 156.0: 0, 182.0: 93}"
18654,182.0,0.5203252032520326,"{50.0: 0, 28.0: 32, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 26, 156.0: 1, 182.0: 64}",0.024193548387096774,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 27, 148.0: 0, 156.0: 0, 182.0: 93}"
18684,182.0,0.5241935483870968,"{50.0: 0, 28.0: 32, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 26, 156.0: 1, 182.0: 65}",0.7421875,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 29, 148.0: 0, 156.0: 0, 182.0: 95}"
18690,182.0,0.528,"{50.0: 0, 28.0: 32, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 26, 156.0: 1, 182.0: 66}",0.0234375,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 29, 148.0: 0, 156.0: 0, 182.0: 95}"
18703,182.0,0.21428571428571427,"{50.0: 0, 28.0: 32, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 27, 156.0: 1, 182.0: 66}",0.2248062015503876,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 29, 148.0: 0, 156.0: 0, 182.0: 96}"
18707,182.0,0.5275590551181102,"{50.0: 0, 28.0: 32, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 27, 156.0: 1, 182.0: 67}",0.7441860465116279,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 29, 148.0: 0, 156.0: 0, 182.0: 96}"
18713,182.0,0.2578125,"{50.0: 0, 28.0: 33, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 27, 156.0: 1, 182.0: 67}",0.7441860465116279,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 29, 148.0: 0, 156.0: 0, 182.0: 96}"
18721,182.0,0.21705426356589147,"{50.0: 0, 28.0: 33, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 28, 156.0: 1, 182.0: 67}",0.2248062015503876,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 29, 148.0: 0, 156.0: 0, 182.0: 96}"
18751,182.0,0.2230769230769231,"{50.0: 0, 28.0: 33, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 29, 156.0: 1, 182.0: 67}",0.22727272727272727,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 30, 148.0: 0, 156.0: 0, 182.0: 98}"
18767,182.0,0.5190839694656488,"{50.0: 0, 28.0: 33, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 29, 156.0: 1, 182.0: 68}",0.7388059701492538,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 31, 148.0: 0, 156.0: 0, 182.0: 99}"
18773,182.0,0.25757575757575757,"{50.0: 0, 28.0: 34, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 29, 156.0: 1, 182.0: 68}",0.7388059701492538,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 31, 148.0: 0, 156.0: 0, 182.0: 99}"
18787,182.0,0.2631578947368421,"{50.0: 0, 28.0: 35, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 29, 156.0: 1, 182.0: 68}",0.7407407407407407,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 31, 148.0: 0, 156.0: 0, 182.0: 100}"
18791,182.0,0.5149253731343284,"{50.0: 0, 28.0: 35, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 29, 156.0: 1, 182.0: 69}",0.7407407407407407,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 31, 148.0: 0, 156.0: 0, 182.0: 100}"
18803,182.0,0.26666666666666666,"{50.0: 0, 28.0: 36, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 29, 156.0: 1, 182.0: 69}",0.7407407407407407,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 3, 146.0: 31, 148.0: 0, 156.0: 0, 182.0: 100}"
18826,230.0,1.0,"{50.0: 0, 28.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 1}",0,"{50.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0, 182.0: 0}"
18839,230.0,1.0,"{50.0: 0, 28.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 2}",0,"{50.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0, 182.0: 0}"
18855,230.0,1.0,"{50.0: 0, 28.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 3}",0,"{50.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0, 182.0: 0}"
19567,230.0,1.0,"{50.0: 0, 28.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 4}",1.0,"{50.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 6}"
19608,230.0,1.0,"{50.0: 0, 28.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 5}",1.0,"{50.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 6}"
19804,230.0,1.0,"{50.0: 0, 28.0: 0, 68.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 6}",1.0,"{50.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 6}"
20045,230.0,1.0,"{50.0: 0, 28.0: 0, 68.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 7}",1.0,"{50.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 7}"
20050,230.0,0.125,"{50.0: 0, 28.0: 0, 68.0: 0, 148.0: 1, 156.0: 0, 182.0: 0, 230.0: 7}",0.0,"{50.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 7}"
20551,230.0,0.8888888888888888,"{50.0: 0, 28.0: 0, 68.0: 0, 148.0: 1, 156.0: 0, 182.0: 0, 230.0: 8}",0.9,"{50.0: 0, 68.0: 0, 133.0: 0, 146.0: 1, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 9}"
20564,230.0,0.9,"{50.0: 0, 28.0: 0, 68.0: 0, 148.0: 1, 156.0: 0, 182.0: 0, 230.0: 9}",0.9,"{50.0: 0, 68.0: 0, 133.0: 0, 146.0: 1, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 9}"
20574,230.0,0.9090909090909091,"{50.0: 0, 28.0: 0, 68.0: 0, 148.0: 1, 156.0: 0, 182.0: 0, 230.0: 10}",0.9,"{50.0: 0, 68.0: 0, 133.0: 0, 146.0: 1, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 9}"
20929,230.0,0.9166666666666666,"{50.0: 0, 28.0: 0, 68.0: 0, 148.0: 1, 156.0: 0, 182.0: 0, 230.0: 11}",0.9166666666666666,"{68.0: 0, 133.0: 0, 146.0: 1, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 11}"
21205,230.0,0.9230769230769231,"{50.0: 0, 28.0: 0, 68.0: 0, 148.0: 1, 156.0: 0, 182.0: 0, 230.0: 12}",0.9230769230769231,"{68.0: 0, 133.0: 0, 146.0: 1, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 12}"
21222,230.0,0.9285714285714286,"{50.0: 0, 28.0: 0, 68.0: 0, 148.0: 1, 156.0: 0, 182.0: 0, 230.0: 13}",0.9285714285714286,"{68.0: 0, 133.0: 0, 146.0: 1, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 13}"
21414,246.0,1.0,"{28.0: 0, 68.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 0, 246.0: 1}",0,"{68.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 0}"
21439,246.0,1.0,"{28.0: 0, 68.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 0, 246.0: 2}",0,"{68.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 0}"
21532,246.0,1.0,"{28.0: 0, 68.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 0, 246.0: 3}",0,"{68.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 0}"
21894,246.0,1.0,"{28.0: 0, 68.0: 0, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 0, 246.0: 4}",0.8,"{68.0: 0, 133.0: 0, 146.0: 1, 148.0: 0, 156.0: 0, 182.0: 0, 230.0: 0, 246.0: 4}"
