1260000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1295000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1330000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1365000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1400000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1435000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1470000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1505000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1540000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1575000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1610000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1645000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1680000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1715000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1750000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1785000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1820000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1855000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
